"GameInstance","Platform","Test Name","Duration","Status"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","UpdateFrequency","0.0070s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","LineageConsistency","0.0081s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","TransformIntegrity","0.0079s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","BoundaryConditions","0.0070s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","AffinitiesManagement","0.0084s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","GrowthStageValidation","0.0093s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","EntityDataDefaults","0.0076s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","ItemDefaults","0.0534s","Fail"
	,,,,"Expected 'SpeciesVesselData is initialized to null' to be true. [C:\Users\Danie\Unreal Projects\2027\repo\Ouract_WispCPP7VR-Core\WispCPP7VR Core\WispCPP7VR Core\WispCPP7VR\Source\WispCPP7VRTests\Private\SaveSystem\SovereignSaveSystemTests.cpp(167)]"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","MatingHistory","0.0090s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","UnknownMetaTags","0.0063s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","BatchCreation","0.0085s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","ClassPathValidation","0.0083s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","SoftReferenceFallback","0.0068s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","GUIDUniqueness","0.0083s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","JSONRobustness","0.0096s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","Creation","0.0083s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","EntityCount","0.0087s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","NullSafety","0.0081s","Success"
"FF49E818462275A62D2E85BF70F72E95","WindowsEditor","Serialization","0.0090s","Success"
